passengerid,survived,pclass,sex,age,sibsp,parch,ticket,fare,cabin,embarked_C,embarked_Q,embarked_S
1,0,3,male,22.0,1,0,A/5 21171,7.25,,False,False,True
2,1,1,female,38.0,1,0,PC 17599,71.2833,C85,True,False,False
3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,,False,False,True
4,1,1,female,35.0,1,0,113803,53.1,C123,False,False,True
5,0,3,male,35.0,0,0,373450,8.05,,False,False,True
6,0,3,male,29.69911764705882,0,0,330877,8.4583,,False,True,False
7,0,1,male,54.0,0,0,17463,51.8625,E46,False,False,True
8,0,3,male,2.0,3,1,349909,21.075,,False,False,True
9,1,3,female,27.0,0,2,347742,11.1333,,False,False,True
10,1,2,female,14.0,1,0,237736,30.0708,,True,False,False
11,1,3,female,4.0,1,1,PP 9549,16.7,G6,False,False,True
12,1,1,female,58.0,0,0,113783,26.55,C103,False,False,True
13,0,3,male,20.0,0,0,A/5. 2151,8.05,,False,False,True
14,0,3,male,39.0,1,5,347082,31.275,,False,False,True
15,0,3,female,14.0,0,0,350406,7.8542,,False,False,True
16,1,2,female,55.0,0,0,248706,16.0,,False,False,True
17,0,3,male,2.0,4,1,382652,29.125,,False,True,False
18,1,2,male,29.69911764705882,0,0,244373,13.0,,False,False,True
19,0,3,female,31.0,1,0,345763,18.0,,False,False,True
20,1,3,female,29.69911764705882,0,0,2649,7.225,,True,False,False
21,0,2,male,35.0,0,0,239865,26.0,,False,False,True
22,1,2,male,34.0,0,0,248698,13.0,D56,False,False,True
23,1,3,female,15.0,0,0,330923,8.0292,,False,True,False
24,1,1,male,28.0,0,0,113788,35.5,A6,False,False,True
25,0,3,female,8.0,3,1,349909,21.075,,False,False,True
26,1,3,female,38.0,1,5,347077,31.3875,,False,False,True
27,0,3,male,29.69911764705882,0,0,2631,7.225,,True,False,False
28,0,1,male,19.0,3,2,19950,263.0,C23 C25 C27,False,False,True
29,1,3,female,29.69911764705882,0,0,330959,7.8792,,False,True,False
30,0,3,male,29.69911764705882,0,0,349216,7.8958,,False,False,True
31,0,1,male,40.0,0,0,PC 17601,27.7208,,True,False,False
32,1,1,female,29.69911764705882,1,0,PC 17569,146.5208,B78,True,False,False
33,1,3,female,29.69911764705882,0,0,335677,7.75,,False,True,False
34,0,2,male,66.0,0,0,C.A. 24579,10.5,,False,False,True
35,0,1,male,28.0,1,0,PC 17604,82.1708,,True,False,False
36,0,1,male,42.0,1,0,113789,52.0,,False,False,True
37,1,3,male,29.69911764705882,0,0,2677,7.2292,,True,False,False
38,0,3,male,21.0,0,0,A./5. 2152,8.05,,False,False,True
39,0,3,female,18.0,2,0,345764,18.0,,False,False,True
40,1,3,female,14.0,1,0,2651,11.2417,,True,False,False
41,0,3,female,40.0,1,0,7546,9.475,,False,False,True
42,0,2,female,27.0,1,0,11668,21.0,,False,False,True
43,0,3,male,29.69911764705882,0,0,349253,7.8958,,True,False,False
44,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,,True,False,False
45,1,3,female,19.0,0,0,330958,7.8792,,False,True,False
46,0,3,male,29.69911764705882,0,0,S.C./A.4. 23567,8.05,,False,False,True
47,0,3,male,29.69911764705882,1,0,370371,15.5,,False,True,False
48,1,3,female,29.69911764705882,0,0,14311,7.75,,False,True,False
49,0,3,male,29.69911764705882,2,0,2662,21.6792,,True,False,False
50,0,3,female,18.0,1,0,349237,17.8,,False,False,True
51,0,3,male,7.0,4,1,3101295,39.6875,,False,False,True
52,0,3,male,21.0,0,0,A/4. 39886,7.8,,False,False,True
53,1,1,female,49.0,1,0,PC 17572,76.7292,D33,True,False,False
54,1,2,female,29.0,1,0,2926,26.0,,False,False,True
55,0,1,male,65.0,0,1,113509,61.9792,B30,True,False,False
56,1,1,male,29.69911764705882,0,0,19947,35.5,C52,False,False,True
57,1,2,female,21.0,0,0,C.A. 31026,10.5,,False,False,True
58,0,3,male,28.5,0,0,2697,7.2292,,True,False,False
59,1,2,female,5.0,1,2,C.A. 34651,27.75,,False,False,True
60,0,3,male,11.0,5,2,CA 2144,46.9,,False,False,True
61,0,3,male,22.0,0,0,2669,7.2292,,True,False,False
62,1,1,female,38.0,0,0,113572,80.0,B28,False,False,False
63,0,1,male,45.0,1,0,36973,83.475,C83,False,False,True
64,0,3,male,4.0,3,2,347088,27.9,,False,False,True
65,0,1,male,29.69911764705882,0,0,PC 17605,27.7208,,True,False,False
66,1,3,male,29.69911764705882,1,1,2661,15.2458,,True,False,False
67,1,2,female,29.0,0,0,C.A. 29395,10.5,F33,False,False,True
68,0,3,male,19.0,0,0,S.P. 3464,8.1583,,False,False,True
69,1,3,female,17.0,4,2,3101281,7.925,,False,False,True
70,0,3,male,26.0,2,0,315151,8.6625,,False,False,True
71,0,2,male,32.0,0,0,C.A. 33111,10.5,,False,False,True
72,0,3,female,16.0,5,2,CA 2144,46.9,,False,False,True
73,0,2,male,21.0,0,0,S.O.C. 14879,73.5,,False,False,True
74,0,3,male,26.0,1,0,2680,14.4542,,True,False,False
75,1,3,male,32.0,0,0,1601,56.4958,,False,False,True
76,0,3,male,25.0,0,0,348123,7.65,F G73,False,False,True
77,0,3,male,29.69911764705882,0,0,349208,7.8958,,False,False,True
78,0,3,male,29.69911764705882,0,0,374746,8.05,,False,False,True
79,1,2,male,0.83,0,2,248738,29.0,,False,False,True
80,1,3,female,30.0,0,0,364516,12.475,,False,False,True
81,0,3,male,22.0,0,0,345767,9.0,,False,False,True
82,1,3,male,29.0,0,0,345779,9.5,,False,False,True
83,1,3,female,29.69911764705882,0,0,330932,7.7875,,False,True,False
84,0,1,male,28.0,0,0,113059,47.1,,False,False,True
85,1,2,female,17.0,0,0,SO/C 14885,10.5,,False,False,True
86,1,3,female,33.0,3,0,3101278,15.85,,False,False,True
87,0,3,male,16.0,1,3,W./C. 6608,34.375,,False,False,True
88,0,3,male,29.69911764705882,0,0,SOTON/OQ 392086,8.05,,False,False,True
89,1,1,female,23.0,3,2,19950,263.0,C23 C25 C27,False,False,True
90,0,3,male,24.0,0,0,343275,8.05,,False,False,True
91,0,3,male,29.0,0,0,343276,8.05,,False,False,True
92,0,3,male,20.0,0,0,347466,7.8542,,False,False,True
93,0,1,male,46.0,1,0,W.E.P. 5734,61.175,E31,False,False,True
94,0,3,male,26.0,1,2,C.A. 2315,20.575,,False,False,True
95,0,3,male,59.0,0,0,364500,7.25,,False,False,True
96,0,3,male,29.69911764705882,0,0,374910,8.05,,False,False,True
97,0,1,male,71.0,0,0,PC 17754,34.6542,A5,True,False,False
98,1,1,male,23.0,0,1,PC 17759,63.3583,D10 D12,True,False,False
99,1,2,female,34.0,0,1,231919,23.0,,False,False,True
100,0,2,male,34.0,1,0,244367,26.0,,False,False,True
101,0,3,female,28.0,0,0,349245,7.8958,,False,False,True
102,0,3,male,29.69911764705882,0,0,349215,7.8958,,False,False,True
103,0,1,male,21.0,0,1,35281,77.2875,D26,False,False,True
104,0,3,male,33.0,0,0,7540,8.6542,,False,False,True
105,0,3,male,37.0,2,0,3101276,7.925,,False,False,True
106,0,3,male,28.0,0,0,349207,7.8958,,False,False,True
107,1,3,female,21.0,0,0,343120,7.65,,False,False,True
108,1,3,male,29.69911764705882,0,0,312991,7.775,,False,False,True
109,0,3,male,38.0,0,0,349249,7.8958,,False,False,True
110,1,3,female,29.69911764705882,1,0,371110,24.15,,False,True,False
111,0,1,male,47.0,0,0,110465,52.0,C110,False,False,True
112,0,3,female,14.5,1,0,2665,14.4542,,True,False,False
113,0,3,male,22.0,0,0,324669,8.05,,False,False,True
114,0,3,female,20.0,1,0,4136,9.825,,False,False,True
115,0,3,female,17.0,0,0,2627,14.4583,,True,False,False
116,0,3,male,21.0,0,0,STON/O 2. 3101294,7.925,,False,False,True
117,0,3,male,70.5,0,0,370369,7.75,,False,True,False
118,0,2,male,29.0,1,0,11668,21.0,,False,False,True
119,0,1,male,24.0,0,1,PC 17558,247.5208,B58 B60,True,False,False
120,0,3,female,2.0,4,2,347082,31.275,,False,False,True
121,0,2,male,21.0,2,0,S.O.C. 14879,73.5,,False,False,True
122,0,3,male,29.69911764705882,0,0,A4. 54510,8.05,,False,False,True
